date,transformer_id,H2,CH4,C2H2,C2H4,C2H6,CO,CO2,TDCG,oil_temp_mean,oil_temp_max,moisture,load_MVA,label
2024-05-01,TR-01,149,203,81,303,29,2299,9703,1224,84.32899699915416,97.09673195381211,23.176748667549003,62.23461927473175,Surveiller
2024-05-01,TR-02,56,490,198,319,117,368,10732,1253,67.02089410967574,81.50199152201111,20.137805666225674,51.110011957097235,Surveiller
2024-05-01,TR-03,496,438,127,70,123,584,10172,1370,68.22864595744599,82.35980577821067,13.525001150196477,91.2623441727105,Surveiller
2024-05-01,TR-04,565,243,186,103,136,849,2324,1402,78.20761478187293,90.14382346202842,26.439589288467296,59.845766060892714,Surveiller
2024-05-01,TR-05,561,208,71,55,147,378,4107,1117,55.2973215393889,66.20371412059957,33.807168945254176,77.1930818781231,Surveiller
2024-05-01,TR-06,381,128,35,373,46,1326,5736,1228,74.71662159400591,82.21306921398467,31.036102753379264,95.4116980449825,Surveiller
2024-05-08,TR-01,289,371,182,25,110,1808,6731,1338,63.65644298581774,75.74373337466137,13.412111001129189,52.23734885657717,Surveiller
2024-05-08,TR-02,72,454,132,352,115,1061,6602,1337,77.39678529159565,88.27679992466307,26.34304851942779,61.11524494305086,Surveiller
2024-05-08,TR-03,462,112,115,361,70,1139,4043,1347,78.57581775745915,89.75952101841385,16.381897796799123,54.34029872437255,Surveiller
2024-05-08,TR-04,463,233,5,243,14,1486,11915,1255,81.5924202314004,95.84894475896915,28.104154156770562,63.955585680195135,Surveiller
2024-05-08,TR-05,562,109,111,238,81,232,3462,1147,51.6224138183436,59.791036444624694,27.408032948220193,55.16063524171135,Surveiller
2024-05-08,TR-06,449,190,48,305,18,556,6528,1121,66.79107201265606,77.59464552752223,12.68143066885579,78.90387676106809,Surveiller
2024-05-15,TR-01,380,487,62,325,85,690,11418,1477,71.18570589117752,77.739369838741,18.16091764941713,95.72032596853808,Surveiller
2024-05-15,TR-02,511,395,17,369,47,1268,6368,1592,65.52780866765666,74.12223800555736,16.19552579271856,50.63687184278969,Surveiller
2024-05-15,TR-03,254,441,64,248,145,1486,6998,1449,72.55046210057024,86.01533082288138,26.644939317639338,85.58180622307816,Surveiller
2024-05-15,TR-04,316,356,77,41,128,2345,1280,1387,78.4266210520503,91.28264464557166,17.50360044105713,50.88654749857093,Surveiller
2024-05-15,TR-05,52,281,96,135,11,757,4577,726,84.1464153546907,95.30018584456545,26.692883350281967,59.838620875143995,Surveiller
2024-05-15,TR-06,376,191,87,10,137,1151,6299,1031,87.50129078860627,94.0964968715374,17.332051082953434,60.31547710981947,Surveiller
2024-05-22,TR-01,292,271,46,383,125,213,1733,1159,74.16858126275116,88.37715843733065,17.44062786314348,67.67212086747318,Surveiller
2024-05-22,TR-02,448,290,30,242,138,1124,7240,1372,84.2787761609575,95.111713724595,17.25405808019527,60.95599256657282,Surveiller
2024-05-22,TR-03,411,268,104,283,52,284,5517,1174,68.98914062272661,77.27938634014536,24.82181635374443,77.37132509223345,Surveiller
2024-05-22,TR-04,146,322,31,58,97,2351,2270,1124,70.16280623913619,82.71691657154942,18.812192413562464,86.82519141221358,Surveiller
2024-05-22,TR-05,153,166,81,234,32,388,8502,743,58.02589827865578,67.25914188307218,31.823403336027727,52.47943565886493,Critique
2024-05-22,TR-06,132,325,154,258,35,420,3497,988,74.76295071145768,85.73838662681158,21.70380114545504,92.50898327767334,Surveiller
2024-05-29,TR-01,133,303,155,93,128,225,3371,857,84.67367614962328,95.74171671536732,34.27848362195977,85.90980749139936,Surveiller
2024-05-29,TR-02,328,86,113,355,138,1080,5583,1236,78.90559685680536,90.5536253239465,23.90615880041594,80.78563540666585,Surveiller
2024-05-29,TR-03,241,489,13,365,29,792,11167,1295,62.462347105452615,75.4093352646027,38.407418509451134,62.738035335944105,Surveiller
2024-05-29,TR-04,313,282,103,356,89,1676,7426,1478,87.55758671195643,101.34898756980995,17.360869718850157,88.71352547266396,Surveiller
2024-05-29,TR-05,170,349,37,84,43,1902,5408,1063,73.06003609176423,79.15899044301923,33.22101415208682,70.01285335235066,Surveiller
2024-05-29,TR-06,253,213,93,104,7,1516,7510,973,54.41145110693212,65.50564658418628,11.369666508968782,77.47142903813064,Surveiller
2024-06-05,TR-01,223,470,89,240,16,1693,6244,1376,65.89920777811247,73.83025839651971,36.20239910850617,57.98516066007237,Surveiller
